province_name,psgc_province,city_name,city_name_psgc,brgy_name,psgc,district,subdistrict,region,region_psgc,region_name_short
DAVAO DEL NORTE,112300000,CITY OF PANABO,112315000,A. O. FLOIRENDO,112315001,II,,REGION XI (DAVAO REGION),110000000,XI
DAVAO DEL NORTE,112300000,CITY OF PANABO,112315000,DATU ABDUL DADIA,112315002,II,,REGION XI (DAVAO REGION),110000000,XI
DAVAO DEL NORTE,112300000,CITY OF PANABO,112315000,BUENAVISTA,112315003,II,,REGION XI (DAVAO REGION),110000000,XI
DAVAO DEL NORTE,112300000,CITY OF PANABO,112315000,CACAO,112315004,II,,REGION XI (DAVAO REGION),110000000,XI
DAVAO DEL NORTE,112300000,CITY OF PANABO,112315000,CAGANGOHAN,112315005,II,,REGION XI (DAVAO REGION),110000000,XI
DAVAO DEL NORTE,112300000,CITY OF PANABO,112315000,CONSOLACION,112315006,II,,REGION XI (DAVAO REGION),110000000,XI
DAVAO DEL NORTE,112300000,CITY OF PANABO,112315000,DAPCO,112315007,II,,REGION XI (DAVAO REGION),110000000,XI
DAVAO DEL NORTE,112300000,CITY OF PANABO,112315000,GREDU (POB.),112315009,II,,REGION XI (DAVAO REGION),110000000,XI
DAVAO DEL NORTE,112300000,CITY OF PANABO,112315000,J.P. LAUREL,112315010,II,,REGION XI (DAVAO REGION),110000000,XI
DAVAO DEL NORTE,112300000,CITY OF PANABO,112315000,KASILAK,112315011,II,,REGION XI (DAVAO REGION),110000000,XI
DAVAO DEL NORTE,112300000,CITY OF PANABO,112315000,KATIPUNAN,112315012,II,,REGION XI (DAVAO REGION),110000000,XI
DAVAO DEL NORTE,112300000,CITY OF PANABO,112315000,KATUALAN,112315013,II,,REGION XI (DAVAO REGION),110000000,XI
DAVAO DEL NORTE,112300000,CITY OF PANABO,112315000,KAUSWAGAN,112315014,II,,REGION XI (DAVAO REGION),110000000,XI
DAVAO DEL NORTE,112300000,CITY OF PANABO,112315000,KIOTOY,112315015,II,,REGION XI (DAVAO REGION),110000000,XI
DAVAO DEL NORTE,112300000,CITY OF PANABO,112315000,LITTLE PANAY,112315016,II,,REGION XI (DAVAO REGION),110000000,XI
